RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
(1.517335;1.517985],[-Inf;13.785],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.615;0.745],(8.315;10.075],[-Inf;0.335],[-Inf; Inf],build wind float
(1.51568;1.517335],[-Inf;13.785],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.615],(8.315;10.075],[-Inf;0.335],[-Inf; Inf],vehic wind float
(1.517335;1.517985],[-Inf;13.785],(2.695; Inf],(1.39;1.75],[-Inf; Inf],(0.055;0.615],(8.315;10.075],[-Inf;0.335],[-Inf; Inf],build wind float
[-Inf;1.51568],(13.785; Inf],[-Inf;2.695],(1.39;1.75],[-Inf; Inf],[-Inf;0.055],(5.83;7.685],[-Inf;0.335],[-Inf; Inf],tableware
(1.517985; Inf],[-Inf;13.785],[-Inf;2.695],[-Inf;1.39],[-Inf; Inf],(0.055;0.615],(10.075; Inf],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.51568;1.517335],[-Inf;13.785],(2.695; Inf],(1.39;1.75],[-Inf; Inf],(0.055;0.615],(8.315;10.075],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.517335;1.517985],[-Inf;13.785],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.615],(8.315;10.075],[-Inf;0.335],[-Inf; Inf],vehic wind float
[-Inf;1.51568],(13.785; Inf],[-Inf;2.695],(1.75; Inf],[-Inf; Inf],(0.055;0.615],(8.315;10.075],(0.335; Inf],[-Inf; Inf],headlamps
(1.517335;1.517985],[-Inf;13.785],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.055;0.615],(8.315;10.075],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.51568;1.517335],[-Inf;13.785],(2.695; Inf],(1.39;1.75],[-Inf; Inf],(0.055;0.615],(7.685;8.315],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.517335;1.517985],[-Inf;13.785],(2.695; Inf],[-Inf;1.39],[-Inf; Inf],(0.615;0.745],(8.315;10.075],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.51568;1.517335],[-Inf;13.785],(2.695; Inf],(1.39;1.75],[-Inf; Inf],(0.615;0.745],(7.685;8.315],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.51568;1.517335],(13.785; Inf],[-Inf;2.695],(1.75; Inf],[-Inf; Inf],[-Inf;0.055],(8.315;10.075],(0.335; Inf],[-Inf; Inf],headlamps
(1.51568;1.517335],[-Inf;13.785],(2.695; Inf],(1.39;1.75],[-Inf; Inf],(0.615;0.745],(7.685;8.315],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.517985; Inf],[-Inf;13.785],[-Inf;2.695],(1.75; Inf],[-Inf; Inf],(0.055;0.615],(10.075; Inf],[-Inf;0.335],[-Inf; Inf],containers
