region.centroid.col,region.centroid.row,region.pixel.count,short.line.density.5,short.line.density.2,vedge.mean,vegde.sd,hedge.mean,hedge.sd,intensity.mean,rawred.mean,rawblue.mean,rawgreen.mean,exred.mean,exblue.mean,exgreen.mean,value.mean,saturation.mean,hue.mean,class
(193.5; Inf],(175.5;210.5],9,(0.0555555; Inf],[-Inf;0.0555555],(0.7222225;1.250005],(0.2407415;0.6280325],(0.5000005;1.36111],(0.1777785;0.5577735],(47.22225;63.35185],(41.8889;56.3333],(49.5;77.8889],(35.72225;55.83335],(-22.27775;-13.94445],(42.83335;46.94445],(-25.83335;-20.94445],(49.5;77.8889],(0.2749175;0.321002],(-2.08594;-1.85084],path
[-Inf;151.5],(129.5;147.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(0.1944435;0.3333345],(0.2407415;0.6280325],(0.2777785;0.5000005],(0.1777785;0.5577735],(0.3148145;3.72222],[-Inf;3.833335],(1.166665;3.944445],(0.0555555;1.722225],(-4.277775;-1.5],(1.166665;5.388885],(-6.388885;-1.388885],(0.6111115;3.277775],(0.7169145; Inf],(-2.20471;-2.08594],foliage
[-Inf;151.5],(162.5;175.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(1.250005;1.916665],(1.468685;4.00185],(4.02778;19.30555],(1.59132;10.9407],(31.64815;47.22225],(25.8889;41.8889],(49.5;77.8889],(35.72225;55.83335],(-13.94445;-8.166665],(26.61115;42.83335],(-17.83335;-15.05555],(49.5;77.8889],(0.247783;0.2749175],(-2.08594;-1.85084],path
[-Inf;151.5],(175.5;210.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(1.250005;1.916665],(1.468685;4.00185],(1.916665;4.02778],(1.59132;10.9407],(47.22225;63.35185],(41.8889;56.3333],(49.5;77.8889],(35.72225;55.83335],(-22.27775;-13.94445],(26.61115;42.83335],(-20.94445;-17.83335],(49.5;77.8889],(0.2749175;0.321002],(-2.08594;-1.85084],path
[-Inf;151.5],(175.5;210.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(1.250005;1.916665],(0.6280325;1.468685],(1.916665;4.02778],(1.59132;10.9407],(47.22225;63.35185],(41.8889;56.3333],(49.5;77.8889],(35.72225;55.83335],(-13.94445;-8.166665],(26.61115;42.83335],(-20.94445;-17.83335],(49.5;77.8889],(0.2749175;0.321002],(-2.08594;-1.85084],path
(193.5; Inf],(210.5; Inf],9,[-Inf;0.0555555],[-Inf;0.0555555],(1.250005;1.916665],(1.468685;4.00185],(0.5000005;1.36111],(0.5577735;0.964527],(17.16665;27.51855],(8.611115;15.5],(9.277775;19.83335],(16.94445;21.72225],(-13.94445;-8.166665],(-0.111111;1.166665],(3.444445; Inf],(20.72225;36.27775],(0.321002;0.3629445],(0.64353; Inf],grass
[-Inf;151.5],(81.5;116.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(0.3333345;0.7222225],(0.03333335;0.2407415],(0.5000005;1.36111],(0.02962965;0.1777785],(4.48148;6.7963],(6.277775;8.611115],(6.166665;9.277775],(2.722225;4.277775],(0.7222225; Inf],(1.166665;5.388885],(-8.5;-6.388885],(6.5;8.5],(0.513642;0.6216975],(-1.51262;-0.28793347],brickface
[-Inf;151.5],(67.5;81.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(6.63889; Inf],(12.5625; Inf],(4.02778;19.30555],(10.9407;241.335],(17.16665;27.51855],(8.611115;15.5],(26.05555;36.27775],(16.94445;21.72225],(-22.27775;-13.94445],(26.61115;42.83335],(-6.388885;-1.388885],(20.72225;36.27775],(0.513642;0.6216975],[-Inf;-2.41102],foliage
[-Inf;151.5],(81.5;116.5],9,(0.0555555; Inf],[-Inf;0.0555555],(1.916665;3.916665],(4.00185;12.5625],(1.916665;4.02778],(1.59132;10.9407],(17.16665;27.51855],(18.16665;24.72225],(26.05555;36.27775],(12.5;16.94445],(-4.277775;-1.5],(16.72225;21.16665],(-17.83335;-15.05555],(20.72225;36.27775],(0.3629445;0.447372],(-1.85084;-1.51262],brickface
(151.5;193.5],(81.5;116.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(3.916665;6.63889],(0.6280325;1.468685],(0.5000005;1.36111],(0.5577735;0.964527],(17.16665;27.51855],(18.16665;24.72225],(26.05555;36.27775],(21.72225;26.5],(-13.94445;-8.166665],(16.72225;21.16665],(-13.72225;-9.944445],(20.72225;36.27775],(0.2749175;0.321002],(-2.08594;-1.85084],cement
