sepallength,sepalwidth,petallength,petalwidth,class
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],[-Inf;3.35],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],[-Inf;3.35],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],[-Inf;3.35],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],[-Inf;3.35],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],[-Inf;3.35],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],[-Inf;3.35],[-Inf;2.6],[-Inf;0.8],Iris-setosa
(5.55;6.15],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
(5.55;6.15],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
(5.55;6.15],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],[-Inf;3.35],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],(3.35; Inf],[-Inf;2.6],[-Inf;0.8],Iris-setosa
[-Inf;5.55],[-Inf;3.35],[-Inf;2.6],[-Inf;0.8],Iris-setosa
